date,location,city,state
9/1/2004,"Columbus, Ohio",Columbus, Ohio
9/1/2004,"Queens, New York",Queens, New York
9/2/2004,"New York, New York",New York, New York
9/3/2004,"Scranton, Pennsylvania",Scranton, Pennsylvania
9/3/2004,"Milwaukee, Wisconsin",Milwaukee, Wisconsin
9/3/2004,"Cedar Rapids, Iowa",Cedar Rapids, Iowa
9/4/2004,"Broadview Heights, Ohio",Broadview Heights, Ohio
9/4/2004,"Kirtland, Ohio",Kirtland, Ohio
9/4/2004,"Erie, Pennsylvania",Erie, Pennsylvania
9/5/2004,"Parkserburg, West Virginia",Parkserburg, West Virginia
9/6/2004,"Poplar Bluff, Missouri",Poplar Bluff, Missouri
9/7/2004,"Lee's Summit, Missouri",Lee's Summit, Missouri
9/7/2004,"Sedalia, Missouri",Sedalia, Missouri
9/7/2004,"Colombua, Missouri",Colombua, Missouri
9/8/2004,"Fort Pierce, Florida",Fort Pierce, Florida
9/8/2004,"Miami, Florida",Miami, Florida
9/9/2004,"Colmar, Pennsylvania",Colmar, Pennsylvania
9/9/2004,"Johnstown, Pennsylvania",Johnstown, Pennsylvania
9/10/2004,"Huntington, West Virginia",Huntington, West Virginia
9/10/2004,"Ironton, Ohio",Ironton, Ohio
9/10/2004,"Portsmouth, Ohio",Portsmouth, Ohio
9/10/2004,"Chillicothe, Ohio",Chillicothe, Ohio
9/13/2004,"Muskegon, Michigan",Muskegon, Michigan
9/13/2004,"Holland, Michigan",Holland, Michigan
9/13/2004,"Battle Creek, Michigan",Battle Creek, Michigan
9/14/2004,"Greenwood Village, Colorado",Greenwood Village, Colorado
9/14/2004,"Las Vegas, Nevada",Las Vegas, Nevada
9/16/2004,"St. Cloud, Minnesota",St. Cloud, Minnesota
9/16/2004,"Blaine, Minnesota",Blaine, Minnesota
9/16/2004,"Rochester, Minnesota",Rochester, Minnesota
9/17/2004,"Washington, District of Columbia",Washington, District of Columbia
9/17/2004,"Charlotte, North Carolina",Charlotte, North Carolina
9/19/2004,"Pensacola, Florida",Pensacola, Florida
9/19/2004,"Orange Beach, Alabama",Orange Beach, Alabama
9/20/2004,"Derry, New Hampshire",Derry, New Hampshire
9/20/2004,"New York, New York",New York, New York
9/21/2004,"New York, New York",New York, New York
9/22/2004,"King of Prussia, Pennsylvania",King of Prussia, Pennsylvania
9/22/2004,"Latrobe, Pennsylvania",Latrobe, Pennsylvania
9/23/2004,"Bangor, Maine",Bangor, Maine
9/24/2004,"Jansesville, Wisconsin",Jansesville, Wisconsin
9/24/2004,"Racine, Wisconsin",Racine, Wisconsin
9/27/2004,"Springfield, Ohio",Springfield, Ohio
9/27/2004,"West Chester, Ohio",West Chester, Ohio
9/29/2004,"Lake Wales, Florida",Lake Wales, Florida
9/30/2004,"Stuart, Florida",Stuart, Florida
9/30/2004,"Coral Gables, Florida",Coral Gables, Florida
10/1/2004,"Allentown, Pennsylvania",Allentown, Pennsylvania
10/1/2004,"Manchester, New Hampshire",Manchester, New Hampshire
10/2/2004,"Colombus, Ohio",Colombus, Ohio
10/2/2004,"Mansfeild, Ohio",Mansfeild, Ohio
10/2/2004,"Cuyahoga Falls, Ohio",Cuyahoga Falls, Ohio
10/4/2004,"Des Moines, Iowa",Des Moines, Iowa
10/4/2004,"Clive, Iowa",Clive, Iowa
10/6/2004,"Wilkes-Barre, Pennsylvania",Wilkes-Barre, Pennsylvania
10/6/2004,"Farmington Hills, Michigan",Farmington Hills, Michigan
10/7/2004,"Wausau, Wisconsin",Wausau, Wisconsin
10/8/2004,"St. Louis, Missouri",St. Louis, Missouri
10/9/2004,"Waterloo, Iowa",Waterloo, Iowa
10/9/2004,"Chanhassen, Minnesota",Chanhassen, Minnesota
10/11/2004,"Hoobs, New Mexico",Hoobs, New Mexico
10/11/2004,"Denver, Colorado",Denver, Colorado
10/11/2004,"Morrison, Colorado",Morrison, Colorado
10/12/2004,"Colorado Springs, Colorado",Colorado Springs, Colorado
10/12/2004,"Paradise Valley, Arizona",Paradise Valley, Arizona
10/13/2004,"Phoenix, Arizona",Phoenix, Arizona
10/14/2004,"Las Vegas, Nevada",Las Vegas, Nevada
10/14/2004,"Reno, Nevada",Reno, Nevada
10/14/2004,"Central Point, Oregon",Central Point, Oregon
10/15/2004,"Cedar Rapids, Iowa",Cedar Rapids, Iowa
10/15/2004,"Oshkosh, Wisconsin",Oshkosh, Wisconsin
10/16/2004,"Sunrise, Florida",Sunrise, Florida
10/16/2004,"West Palm Beach, Florida",West Palm Beach, Florida
