date,location,city,state
9/2/2024,"Detroit, Michigan",Detroit, Michigan
9/2/2024,"Pittsburgh, Pennsylvania",Pittsburgh, Pennsylvania
9/4/2024,"North Hampton, New Hampshire",North Hampton, New Hampshire
9/4/2024,"Portsmouth, New Hampshire",Portsmouth, New Hampshire
9/7/2024,"Pittsburgh, Pennsylvania",Pittsburgh, Pennsylvania
9/12/2024,"Charlotte, North Carolina",Charlotte, North Carolina
9/12/2024,"Greensboro, North Carolina",Greensboro, North Carolina
9/13/2024,"Wilkes-Barre, Pennsylvania",Wilkes-Barre, Pennsylvania
9/13/2024,"Johnstown, Pennsylvania",Johnstown, Pennsylvania
9/14/2024,"Washington, D.C.",Washington, D.C.
9/17/2024,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania
9/18/2024,"Washington, D.C.",Washington, D.C.
9/19/2024,"Oakland County, Michigan",Oakland County, Michigan
9/20/2024,"Atlanta, Georgia",Atlanta, Georgia
9/20/2024,"Madison, Wisconsin",Madison, Wisconsin
9/25/2024,"Pittsburgh, Pennsylvania",Pittsburgh, Pennsylvania
9/27/2024,"Douglas, Arizona",Douglas, Arizona
9/29/2024,"Las Vegas, Nevada",Las Vegas, Nevada
10/2/2024,"Atlanta, Georgia",Atlanta, Georgia
10/3/2024,"Ripon, Wisconsin",Ripon, Wisconsin
10/4/2024,"Redford, Michigan",Redford, Michigan
10/4/2024,"Flint, Michigan",Flint, Michigan
10/5/2024,"Charlotte, North Carolina",Charlotte, North Carolina
10/10/2024,"Phoenix, Arizona",Phoenix, Arizona
10/11/2024,"Scottsdale, Arizona",Scottsdale, Arizona
10/12/2024,"Raleigh, North Carolina",Raleigh, North Carolina
10/13/2024,"Greensboro, North Carolina",Greensboro, North Carolina
10/14/2024,"Erie, Pennsylvania",Erie, Pennsylvania
10/15/2024,"Detroit, Michigan",Detroit, Michigan
10/16/2024,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania
10/17/2024,"Green Bay, Wisconsin",Green Bay, Wisconsin
10/17/2024,"LaCrosse, Wisconsin",LaCrosse, Wisconsin
10/17/2024,"Milwaukee, Wisconsin",Milwaukee, Wisconsin
10/18/2024,"Lansing, Michigan",Lansing, Michigan
10/18/2024,"Grand Rapids, Michigan",Grand Rapids, Michigan
10/18/2024,"Waterford, Michigan",Waterford, Michigan
10/19/2024,"Detroit, Michigan",Detroit, Michigan
10/19/2024,"Atlanta, Georgia",Atlanta, Georgia
10/20/2024,"Stonecrest, Georgia",Stonecrest, Georgia
10/20/2024,"Jonesboro, Georgia",Jonesboro, Georgia
10/20/2024,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania
10/21/2024,"Chester County, Pennsylvania",Chester County, Pennsylvania
10/21/2024,"Oakland County, Michigan",Oakland County, Michigan
10/21/2024,"Waukesha County, Wisconsin",Waukesha County, Wisconsin
10/24/2024,"Atlanta, Georgia",Atlanta, Georgia
10/25/2024,"Houston, Texas",Houston, Texas
10/26/2024,"Kalamazoo, Michigan",Kalamazoo, Michigan
10/27/2024,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania
10/28/2024,"Saginaw, Michigan",Saginaw, Michigan
10/28/2024,"Warren, Michigan",Warren, Michigan
10/28/2024,"Ann Arbor, Michigan",Ann Arbor, Michigan
10/29/2024,"Washington, D.C.",Washington, D.C.
10/30/2024,"Raleigh, North Carolina",Raleigh, North Carolina
10/30/2024,"Harrisburg, North Carolina",Harrisburg, North Carolina
10/30/2024,"Madison, Wisconsin",Madison, Wisconsin
