date,location,city,state
9/1/2004,"Nashville, Tennessee",Nashville, Tennessee
9/2/2004,"Springfield, Ohio",Springfield, Ohio
9/3/2004,"Newark, Ohio",Newark, Ohio
9/3/2004,"Mansfield, Ohio",Mansfield, Ohio
9/3/2004,"Ontario, Ohio",Ontario, Ohio
9/4/2004,"Akron, Ohio",Akron, Ohio
9/4/2004,"Edinburgh, Ohio",Edinburgh, Ohio
9/4/2004,"Wellsville, Ohio",Wellsville, Ohio
9/4/2004,"Steubenville, Ohio",Steubenville, Ohio
9/6/2004,"Cannonsburg, Pennsylvania",Cannonsburg, Pennsylvania
9/6/2004,"Racine, West Virginia",Racine, West Virginia
9/6/2004,"Clevland, Ohio",Clevland, Ohio
9/7/2004,"Greensboro, North Carolina",Greensboro, North Carolina
9/8/2004,"Cincinnati, Ohio",Cincinnati, Ohio
9/8/2004,"Rochester, Minnesota",Rochester, Minnesota
9/9/2004,"Des Moines, Iowa",Des Moines, Iowa
9/9/2004,"New Orleans, Louisiana",New Orleans, Louisiana
9/10/2004,"St. Louis, Missouri",St. Louis, Missouri
9/10/2004,"Allentown, Pennsylvania",Allentown, Pennsylvania
9/11/2004,"Boston, Massachusetts",Boston,Massachusetts
9/11/2004,"Washington, District of Columbia",Washington, District of Columbia
9/13/2004,"Washington, District of Columbia",Washington, District of Columbia
9/14/2004,"Milwaukee, Wisconsin",Milwaukee, Wisconsin
9/14/2004,"Toledo, Ohio",Toledo, Ohio
9/15/2004,"Detroit, Michigan",Detroit, Michigan
9/15/2004,"Madison, Wisconsin",Madison, Wisconsin
9/15/2004,"Washington, District of Columbia",Washington, District of Columbia
9/16/2004,"Las Vegas, Nevada",Las Vegas, Nevada
9/16/2004,"Albuquerque, New Mexico",Albuquerque, New Mexico
9/17/2004,"Albuquerque, New Mexico",Albuquerque, New Mexico
9/17/2004,"Aurora, Colorado",Aurora, Colorado
9/18/2004,"Boston, Massachusetts",Boston,Massachusetts
9/20/2004,"New York, New York",New York, New York
9/21/2004,"Jacksonville, Florida",Jacksonville, Florida
9/21/2004,"Orlando, Florida",Orlando, Florida
9/22/2004,"Orlando, Florida",Orlando, Florida
9/22/2004,"Palm Beach, Florida",Palm Beach, Florida
9/23/2004,"Columbus, Ohio",Columbus, Ohio
9/24/2004,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania
9/24/2004,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania
9/26/2004,"Madison, Wisconsin",Madison, Wisconsin
9/27/2004,"Spring Green, Wisconsin",Spring Green, Wisconsin
9/29/2004,"Fort Lauderdale, Florida",Fort Lauderdale, Florida
9/30/2004,"Miami, Florida",Miami, Florida
10/1/2004,"Tampa, Florida",Tampa, Florida
10/1/2004,"Kissimmee, Florida",Kissimmee, Florida
10/2/2004,"Orlando, Florida",Orlando, Florida
10/2/2004,"Washington, District of Columbia",Washington, District of Columbia
10/3/2004,"Austintown, Ohio",Austintown, Ohio
10/4/2004,"Hampton, New Hampshire",Hampton, New Hampshire
10/4/2004,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania
10/5/2004,"Tipton, Iowa",Tipton, Iowa
10/5/2004,"Denver, Colorado",Denver, Colorado
10/8/2004,"St. Louis, Missouri",St. Louis, Missouri
10/9/2004,"Elyria, Ohio",Elyria, Ohio
10/9/2004,"Davie, Florida",Davie, Florida
10/10/2004,"Miami, Florida",Miami, Florida
10/10/2004,"Albuquerque, New Mexico",Albuquerque, New Mexico
10/11/2004,"Sante Fe, New Mexico",Sante Fe, New Mexico
10/13/2004,"Tempe, Arizona",Tempe, Arizona
10/14/2004,"Las Vegas, Nevada",Las Vegas, Nevada
10/14/2004,"Des Moines, Iowa",Des Moines, Iowa
10/15/2004,"Milwaukee, Wisconsin",Milwaukee, Wisconsin
10/15/2004,"Sheboygan, Wisconsin",Sheboygan, Wisconsin
10/15/2004,"Appleton, Wisconsin",Appleton, Wisconsin
10/16/2004,"Xenia, Ohio",Xenia, Ohio
10/16/2004,"Wakefield, Ohio",Wakefield, Ohio
10/17/2004,"Columbus, Ohio",Columbus, Ohio
10/17/2004,"Pembroke Pines, Florida",Pembroke Pines, Florida
10/18/2004,"West Palm Beach, Florida",West Palm Beach, Florida
10/18/2004,"Tampa, Florida",Tampa, Florida
10/18/2004,"Orlando, Florida",Orlando, Florida
10/19/2004,"Wilkes Barre, Pennsylvania",Wilkes Barre, Pennsylvania
10/19/2004,"Dayton, Ohio",Dayton, Ohio
10/20/2004,"Waterloo, Iowa",Waterloo, Iowa
10/20/2004,"Pittsburgh, Pennsylvania",Pittsburgh, Pennsylvania
10/21/2004,"Columbus, Ohio",Columbus, Ohio
10/21/2004,"Minneapolis, Minnesota",Minneapolis, Minnesota
10/22/2004,"Milwaukee, Wisconsin",Milwaukee, Wisconsin
10/22/2004,"Reno, Nevada",Reno, Nevada
10/23/2004,"Pueblo, Colorado",Pueblo, Colorado
10/23/2004,"Las Cruces, New Mexico",Las Cruces, New Mexico
10/23/2004,"Anthony, New Mexico",Anthony, New Mexico
10/24/2004,"Fort Lauderdale, Florida",Fort Lauderdale, Florida
10/24/2004,"Boca Raton, Florida",Boca Raton, Florida
10/25/2004,"Dover, New Hampshire",Dover, New Hampshire
10/25/2004,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania
10/25/2004,"Warren, Michigan",Warren, Michigan
10/25/2004,"Green Bay, Wisconsin",Green Bay, Wisconsin
10/26/2004,"Green Bay, Wisconsin",Green Bay, Wisconsin
10/26/2004,"Las Vegas, Nevada",Las Vegas, Nevada
10/26/2004,"Albuquerque, New Mexico",Albuquerque, New Mexico
10/27/2004,"Sioux City, Iowa",Sioux City, Iowa
10/27/2004,"Rochester, Minnesota",Rochester, Minnesota
10/27/2004,"Cedar Rapids, Iowa",Cedar Rapids, Iowa
10/28/2004,"Toledo, Ohio",Toledo, Ohio
10/28/2004,"Madison, Wisconsin",Madison, Wisconsin
10/28/2004,"Columbus, Ohio",Columbus, Ohio
10/29/2004,"Orlando, Florida",Orlando, Florida
10/29/2004,"West Palm Beach, Florida",West Palm Beach, Florida
10/29/2004,"Miami, Florida",Miami, Florida
10/30/2004,"Appleton, Wisconsin",Appleton, Wisconsin
10/30/2004,"Des Moines, Iowa",Des Moines, Iowa
10/30/2004,"Warren, Ohio",Warren, Ohio
10/31/2004,"Dayton, Ohio",Dayton, Ohio
10/31/2004,"Manchester, New Hampshire",Manchester, New Hampshire
10/31/2004,"Tampa, Florida",Tampa, Florida
11/1/2004,"Orlando, Florida",Orlando, Florida
11/1/2004,"Milwaukee, Wisconsin",Milwaukee, Wisconsin
11/1/2004,"Detroit, Michigan",Detroit, Michigan
11/1/2004,"Clevland, Ohio",Clevland, Ohio
11/1/2004,"Toledo, Ohio",Toledo, Ohio
11/2/2004,"LaCrosse, Wisconsin",LaCrosse, Wisconsin
