date,location,city,state
9/4/2024,"Harrisburg, Pennsylvania",Harrisburg, Pennsylvania
9/6/2024,"Charlotte, North Carolina",Charlotte, North Carolina
9/7/2024,"Mosinee, Wisconsin",Mosinee, Wisconsin
9/12/2024,"Tuscon, Arizona",Tuscon, Arizona
9/13/2024,"Las Vegas, Nevada",Las Vegas, Nevada
9/17/2024,"Flint, Michigan",Flint, Michigan
9/18/2024,"Uniondale, New York",Uniondale, New York
9/19/2024,"Washington, D.C.",Washington, D.C.
9/21/2024,"Wilmington, North Carolina",Wilmington, North Carolina
9/23/2024,"Kittanning, Pennsylvania",Kittanning, Pennsylvania
9/23/2024,"Smithton, Pennsylvania",Smithon, Pennsylvania
9/23/2024,"Indiana, Pennsylvania",Indiana, Pennsylvania
9/24/2024,"Savannah, Georgia",Savannah, Georgia
9/25/2024,"Mint Hill, North Carolina",Mint Hill, North Carolina
9/27/2024,"Walker, Michigan",Walker, Michigan
9/27/2024,"Warren, Michigan",Warren, Michigan
9/28/2024,"Praire du Chein, Wisconsin",Praire du Chein, Wisconsin
9/29/2024,"Erie, Pennsylvania",Erie, Pennsylvania
9/30/2024,"Valdosta, Georgia",Valdosta, Georgia
10/1/2024,"Waunakee, Wisconsin",Waunakee, Wisconsin
10/1/2024,"Milwaukee, Wisconsin",Milwaukee, Wisconsin
10/3/2024,"Saginaw, Michigan",Saginaw, Michigan
10/4/2024,"Fayetteville, North Carolina",Fayetteville, North Carolina
10/4/2024,"Evans, Georgia",Evans, Georgia
10/5/2024,"Butler, Pennsylvania",Bulter, Pennsylvania
10/6/2024,"Juneau, Wisconsin",Juneau, Wisconsin
10/7/2024,"New York, New York",New York, New York
10/9/2024,"Reading, Pennsylvania",Reading, Pennsylvania
10/9/2024,"Scranton, Pennsylvania",Scranton, Pennsylvania
10/10/2024,"Detroit, Michigan",Detroit, Michigan
10/11/2024,"Aurora, Colorado",Aurora, Colorado
10/11/2024,"Reno, Nevada",Reno, Nevada
10/12/2024,"Coachella, California",Coachella, California
10/12/2024,"Las Vegas, Nevada",Las Vegas, Nevada
10/13/2024,"Prescott Valley, Arizona",Prescott Valley, Arizona
10/14/2024,"Oaks, Pennsylvania",Oaks, Pennsylvania
10/15/2024,"Atlanta, Georgia",Atlanta, Georgia
10/17/2024,"New York, New York",New York, New York
10/18/2024,"Detroit, Michigan",Detroit, Michigan
10/18/2024,"Oakland County, Michigan",Oakland County, Michigan
10/19/2024,"LaTrobe, Pennsylvania",LaTrobe, Pennsylvania
10/20/2024,"Lancaster, Pennsylvania",Lancaster, Pennsylvania
10/20/2024,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania
10/20/2024,"Bucks County, Pennsylvania",Bucks County, Pennsylvania
10/21/2024,"Greenville, North Carolina",Greenville, North Carolina
10/21/2024,"Concord, North Carolina",Concord, North Carolina
10/22/2024,"Greenville, North Carolina",Greenville, North Carolina
10/23/2024,"Duluth, Georgia",Duluth, Georgia
10/23/2024,"Zebulon, Georgia",Zebulon, Georgia
10/24/2024,"Tempe, Arizona",Tempe, Arizona
10/24/2024,"Las Vegas, Nevada",Las Vegas, Nevada
10/25/2024,"Traverse City, Michigan",Traverse City, Michigan
10/26/2024,"Novi, Michigan",Novi, Michigan
10/26/2024,"State College, Pennsylvania",State College, Pennsylvania
10/27/2024,"New York, New York",New York, New York
10/28/2024,"Atlanta, Georgia",Atlanta, Georgia
10/29/2024,"Allentown, Pennsylvania",Allentown, Pennsylvania
10/29/2024,"Drexel Hill, Pennsylvania",Drexel Hill, Pennsylvania
10/30/2024,"Green Bay, Wisconsin",Green Bay, Wisconsin
10/30/2024,"Rocky Mount, North Carolina",Rocky Mount, North Carolina
