date,location,city,state,lat,lng
9/1/2012,"Cincinnati, Ohio",Cincinnati, Ohio,39.1413,-84.506
9/1/2012,"Jacksonville, Florida",Jacksonville, Florida,30.3322,-81.6749
9/7/2012,"Orange City, Iowa",Orange City, Iowa,43.0023,-96.0566
9/7/2012,"Nashua, New Hampshire",Nashua, New Hampshire,42.7491,-71.491
9/8/2012,"Virginia Beach, Virginia",Virginia Beach, Virginia,36.7335,-76.0435
9/10/2012,"Mansfield, Ohio",Mansfield, Ohio,40.7656,-82.5275
9/11/2012,"Reno, Nevada",Reno, Nevada,39.5497,-119.8483
9/12/2012,"Jacksonville, Florida",Jacksonville, Florida,30.3322,-81.6749
9/13/2012,"Fairfax, Virginia",Fairfax, Virginia,38.8531,-77.2997
9/14/2012,"Painesville, Ohio",Painesville, Ohio,41.724,-81.2536
9/17/2012,"Los Angeles, California",Los Angeles, California,34.1141,-118.4068
9/19/2012,"Coral Gables, Florida",Coral Gables, Florida,25.7037,-80.2715
9/19/2012,"Miami, Florida",Miami, Florida,25.784,-80.2101
9/20/2012,"Sarasota, Florida",Sarasota, Florida,27.3387,-82.5432
9/21/2012,"Las Vegas, Nevada",Las Vegas, Nevada,36.2333,-115.2654
9/23/2012,"Denver, Colorado",Denver, Colorado,39.762,-104.8758
9/24/2012,"Pueblo, Colorado",Pueblo, Colorado,38.2701,-104.6114
9/25/2012,"New York, New York",New York, New York,40.6943,-73.9249
9/25/2012,"Vandalia, Ohio",Vandalia, Ohio,39.8791,-84.193
9/26/2012,"Westerville, Ohio",Westerville, Ohio,40.1241,-82.921
9/26/2012,"Bedford Heights, Ohio",Bedford Heights, Ohio,41.4041,-81.5053
9/26/2012,"Toledo, Ohio",Toledo, Ohio,41.6638,-83.5827
9/27/2012,"Springfield, Virginia",Springfield, Virginia,38.781,-77.1839
9/28/2012,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania,40.0077,-75.1339
10/1/2012,"Denver, Colorado",Denver, Colorado,39.762,-104.8758
10/4/2012,"Denver, Colorado",Denver, Colorado,39.762,-104.8758
10/4/2012,"Fishersville, Virginia",Fishersville, Virginia,38.105,-78.9826
10/5/2012,"Abingdon, Virginia",Abingdon, Virginia,36.709,-81.9713
10/5/2012,"St. Petersburg, Florida",St. Petersburg, Florida,27.7931,-82.6652
10/6/2012,"Apopka, Florida",Apopka, Florida,28.7015,-81.5316
10/7/2012,"Port St. Lucie, Florida",Port St. Lucie, Florida,27.2796,-80.3884
10/8/2012,"Lexington, Virginia",Lexington, Virginia,37.7825,-79.4441
10/8/2012,"Newport News, Virginia",Newport News, Virginia,37.1051,-76.5185
10/9/2012,"Van Meter, Iowa",Van Meter, Iowa,41.5192,-93.9426
10/9/2012,"Cuyahoga Falls, Ohio",Cuyahoga Falls, Ohio,41.1641,-81.5207
10/10/2012,"Mount Vernon, Ohio",Mount Vernon, Ohio,40.3854,-82.4737
10/10/2012,"Sidney, Ohio",Sidney, Ohio,40.2891,-84.1667
10/11/2012,"Asheville, North Carolina",Asheville, North Carolina,35.5707,-82.5537
