date,location,city,state,lat,lng
2016-09-05,"Hampton, Illinois",Hampton,Illinois,41.5561473,-90.4096858
2016-09-05,"Cleveland, Ohio",Cleveland,Ohio,41.4996574,-81.6936772
2016-09-06,"Tampa, Florida",Tampa,Florida,27.9477595,-82.458444
2016-09-08,"Charlotte, North Carolina",Charlotte,North Carolina,35.2272086,-80.8430827
2016-09-15,"Greensboro, North Carolina",Greensboro,North Carolina,36.0726355,-79.7919754
2016-09-19,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262
2016-09-21,"Orlando, Florida",Orlando,Florida,28.5421109,-81.3790304
2016-09-27,"Raleigh, North Carolina",Raleigh,North Carolina,35.7803977,-78.6390989
2016-09-28,"Durham, New Hampshire",Durham,New Hampshire,43.134564,-70.927048
2016-09-29,"Des Moines, Iowa",Des Moines,Iowa,41.5868654,-93.6249494
2016-09-03,"Coral Springs, Florida",Coral Springs,Florida,26.271192,-80.2706044
2016-09-03,"Fort Pierce, Florida",Fort Pierce,Florida,27.4467056,-80.3256056
2016-10-02,"Charlotte, North Carolina",Charlotte,North Carolina,35.2272086,-80.8430827
2016-10-03,"Akron, Ohio",Akron,Ohio,41.083064,-81.518485
2016-10-03,"Toledo, Ohio",Toledo,Ohio,41.6529143,-83.5378173
2016-10-04,"Harrisburg, Pennsylvania",Harrisburg,Pennsylvania,40.2663107,-76.8861122
2016-10-04,"Haverford, Pennsylvania",Haverford,Pennsylvania,40.0131672,-75.2943516
2016-10-01,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007
2016-10-01,"Columbus, Ohio",Columbus,Ohio,39.9622601,-83.0007065
2016-10-11,"Miami, Florida",Miami,Florida,25.7741728,-80.19362
2016-10-12,"Pueblo, Colorado",Pueblo,Colorado,38.263995,-104.6141867
2016-10-12,"Las Vegas, Nevada",Las Vegas,Nevada,36.1672559,-115.148516
2016-10-21,"Highland Hills, Ohio",Highland Hills,Ohio,41.448387,-81.51901
2016-10-22,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262
