candidate_party,location,count
Democrat,"Albuquerque, New Mexico",6
Democrat,"Atlanta, Georgia",5
Democrat,"Charlotte, North Carolina",8
Democrat,"Cincinnati, Ohio",7
Democrat,"Cleveland, Ohio",9
Democrat,"Columbus, Ohio",10
Democrat,"Des Moines, Iowa",8
Democrat,"Detroit, Michigan",12
Democrat,"Fort Lauderdale, Florida",6
Democrat,"Green Bay, Wisconsin",5
Democrat,"Greensboro, North Carolina",6
Democrat,"Las Vegas, Nevada",12
Democrat,"Madison, Wisconsin",7
Democrat,"Manchester, New Hampshire",6
Democrat,"Miami, Florida",9
Democrat,"Milwaukee, Wisconsin",9
Democrat,"Orlando, Florida",9
Democrat,"Philadelphia, Pennsylvania",16
Democrat,"Pittsburgh, Pennsylvania",10
Democrat,"Raleigh, North Carolina",7
Democrat,"Tampa, Florida",10
Democrat,"Toledo, Ohio",8
