location,candidate_party,count
"Albuquerque, New Mexico",Democrat,6
"Charlotte, North Carolina",Democrat,6
"Cincinnati, Ohio",Democrat,7
"Cleveland, Ohio",Democrat,9
"Columbus, Ohio",Democrat,10
"Des Moines, Iowa",Democrat,8
"Detroit, Michigan",Democrat,9
"Fort Lauderdale, Florida",Democrat,6
"Las Vegas, Nevada",Democrat,11
"Madison, Wisconsin",Democrat,5
"Manchester, New Hampshire",Democrat,6
"Miami, Florida",Democrat,9
"Milwaukee, Wisconsin",Democrat,8
"Orlando, Florida",Democrat,9
"Philadelphia, Pennsylvania",Democrat,12
"Pittsburgh, Pennsylvania",Democrat,7
"Raleigh, North Carolina",Democrat,5
"Tampa, Florida",Democrat,10
"Toledo, Ohio",Democrat,8
