date,location,city,state,lat,lng
2024-09-02,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007
2024-09-02,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,40.4416941,-79.9900861
2024-09-04,"North Hampton, New Hampshire",North Hampton,New Hampshire,42.9689814,-70.8359489
2024-09-04,"Portsmouth, New Hampshire",Portsmouth,New Hampshire,43.0764436,-70.7573936
2024-09-07,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,40.4416941,-79.9900861
2024-09-12,"Charlotte, North Carolina",Charlotte,North Carolina,35.2272086,-80.8430827
2024-09-12,"Greensboro, North Carolina",Greensboro,North Carolina,36.0726355,-79.7919754
2024-09-13,"Wilkes-Barre, Pennsylvania",Wilkes-Barre,Pennsylvania,41.2464824,-75.8817316
2024-09-13,"Johnstown, Pennsylvania",Johnstown,Pennsylvania,40.3267407,-78.9219698
2024-09-14,"Washington, D.C.",Washington,D.C.,38.8950368,-77.0365427
2024-09-17,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262
2024-09-18,"Washington, D.C.",Washington,D.C.,38.8950368,-77.0365427
2024-09-19,"Oakland County, Michigan",Oakland County,Michigan,42.6618842,-83.3804439
2024-09-20,"Atlanta, Georgia",Atlanta,Georgia,33.7489924,-84.3902644
2024-09-20,"Madison, Wisconsin",Madison,Wisconsin,43.074761,-89.3837613
2024-09-25,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,40.4416941,-79.9900861
2024-09-27,"Douglas, Arizona",Douglas,Arizona,31.3447174,-109.5545036
2024-09-29,"Las Vegas, Nevada",Las Vegas,Nevada,36.1672559,-115.148516
2024-10-02,"Atlanta, Georgia",Atlanta,Georgia,33.7489924,-84.3902644
2024-10-03,"Ripon, Wisconsin",Ripon,Wisconsin,43.8424502,-88.8372972
2024-10-04,"Redford, Michigan",Redford,Michigan,42.3833698,-83.2965971
2024-10-04,"Flint, Michigan",Flint,Michigan,43.0161693,-83.6900211
2024-10-05,"Charlotte, North Carolina",Charlotte,North Carolina,35.2272086,-80.8430827
2024-10-10,"Phoenix, Arizona",Phoenix,Arizona,33.4484367,-112.074141
2024-10-11,"Scottsdale, Arizona",Scottsdale,Arizona,33.4942189,-111.926018
2024-10-12,"Raleigh, North Carolina",Raleigh,North Carolina,35.7803977,-78.6390989
2024-10-13,"Greensboro, North Carolina",Greensboro,North Carolina,36.0726355,-79.7919754
2024-10-14,"Erie, Pennsylvania",Erie,Pennsylvania,42.1294712,-80.0852695
2024-10-15,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007
2024-10-16,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262
2024-10-17,"Green Bay, Wisconsin",Green Bay,Wisconsin,44.5126379,-88.0125794
2024-10-17,"LaCrosse, Wisconsin",LaCrosse,Wisconsin,43.43515305,-89.72958335
2024-10-17,"Milwaukee, Wisconsin",Milwaukee,Wisconsin,43.0386475,-87.9090751
2024-10-18,"Lansing, Michigan",Lansing,Michigan,42.7338254,-84.5546295
2024-10-18,"Grand Rapids, Michigan",Grand Rapids,Michigan,42.9632425,-85.6678639
2024-10-18,"Waterford, Michigan",Waterford,Michigan,42.7022527,-83.402718
2024-10-19,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007
2024-10-19,"Atlanta, Georgia",Atlanta,Georgia,33.7489924,-84.3902644
2024-10-20,"Stonecrest, Georgia",Stonecrest,Georgia,33.6831296,-84.1358505
2024-10-20,"Jonesboro, Georgia",Jonesboro,Georgia,33.5215013,-84.3538128
2024-10-20,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262
2024-10-21,"Chester County, Pennsylvania",Chester County,Pennsylvania,39.9829308,-75.7652424
2024-10-21,"Oakland County, Michigan",Oakland County,Michigan,42.6618842,-83.3804439
2024-10-21,"Waukesha County, Wisconsin",Waukesha County,Wisconsin,43.0622536,-88.3123889
2024-10-24,"Atlanta, Georgia",Atlanta,Georgia,33.7489924,-84.3902644
2024-10-25,"Houston, Texas",Houston,Texas,29.7589382,-95.3676974
2024-10-26,"Kalamazoo, Michigan",Kalamazoo,Michigan,42.291707,-85.5872286
2024-10-27,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262
2024-10-28,"Saginaw, Michigan",Saginaw,Michigan,43.3326882,-84.0468403
2024-10-28,"Warren, Michigan",Warren,Michigan,42.4932575,-83.0062746
2024-10-28,"Ann Arbor, Michigan",Ann Arbor,Michigan,42.2813722,-83.7484616
2024-10-29,"Washington, D.C.",Washington,D.C.,38.8950368,-77.0365427
2024-10-30,"Raleigh, North Carolina",Raleigh,North Carolina,35.7803977,-78.6390989
2024-10-30,"Harrisburg, North Carolina",Harrisburg,North Carolina,35.3258295,-80.6454979
2024-10-30,"Madison, Wisconsin",Madison,Wisconsin,43.074761,-89.3837613
