date,location,city,state,lat,lng
2004-09-01,"Nashville, Tennessee",Nashville,Tennessee,36.1622767,-86.7742984
2004-09-02,"Springfield, Ohio",Springfield,Ohio,39.9234046,-83.810138
2004-09-03,"Newark, Ohio",Newark,Ohio,40.0581205,-82.4012643
2004-09-03,"Mansfield, Ohio",Mansfield,Ohio,40.75839,-82.5154471
2004-09-03,"Ontario, Ohio",Ontario,Ohio,40.7595418,-82.5901658
2004-09-04,"Akron, Ohio",Akron,Ohio,41.083064,-81.518485
2004-09-04,"Edinburgh, Ohio",Edinburgh,Ohio,40.7553341,-81.8440264
2004-09-04,"Wellsville, Ohio",Wellsville,Ohio,40.6099641,-80.6418888
2004-09-04,"Steubenville, Ohio",Steubenville,Ohio,40.3600714,-80.6151034
2004-09-06,"Cannonsburg, Pennsylvania",Cannonsburg,Pennsylvania,NA,NA
2004-09-06,"Racine, West Virginia",Racine,West Virginia,38.1420461,-81.6603973
2004-09-06,"Clevland, Ohio",Clevland,Ohio,40.655124,-80.579114
2004-09-07,"Greensboro, North Carolina",Greensboro,North Carolina,36.0726355,-79.7919754
2004-09-08,"Cincinnati, Ohio",Cincinnati,Ohio,39.1014537,-84.5124602
2004-09-08,"Rochester, Minnesota",Rochester,Minnesota,44.0234387,-92.4630182
2004-09-09,"Des Moines, Iowa",Des Moines,Iowa,41.5868654,-93.6249494
2004-09-09,"New Orleans, Louisiana",New Orleans,Louisiana,29.9759983,-90.0782127
2004-09-10,"St. Louis, Missouri",St. Louis,Missouri,38.6280278,-90.1910154
2004-09-10,"Allentown, Pennsylvania",Allentown,Pennsylvania,40.6022059,-75.4712794
2004-09-11,"Boston, Massachusetts",Boston,Massachusetts,42.3554334,-71.060511
2004-09-11,"Washington, District of Columbia",Washington,District of Columbia,38.8950368,-77.0365427
2004-09-13,"Washington, District of Columbia",Washington,District of Columbia,38.8950368,-77.0365427
2004-09-14,"Milwaukee, Wisconsin",Milwaukee,Wisconsin,43.0386475,-87.9090751
2004-09-14,"Toledo, Ohio",Toledo,Ohio,41.6529143,-83.5378173
2004-09-15,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007
2004-09-15,"Madison, Wisconsin",Madison,Wisconsin,43.074761,-89.3837613
2004-09-15,"Washington, District of Columbia",Washington,District of Columbia,38.8950368,-77.0365427
2004-09-16,"Las Vegas, Nevada",Las Vegas,Nevada,36.1672559,-115.148516
2004-09-16,"Albuquerque, New Mexico",Albuquerque,New Mexico,35.0841034,-106.650985
2004-09-17,"Albuquerque, New Mexico",Albuquerque,New Mexico,35.0841034,-106.650985
2004-09-17,"Aurora, Colorado",Aurora,Colorado,39.7405111,-104.830994
2004-09-18,"Boston, Massachusetts",Boston,Massachusetts,42.3554334,-71.060511
2004-09-20,"New York, New York",New York,New York,40.7127281,-74.0060152
2004-09-21,"Jacksonville, Florida",Jacksonville,Florida,30.3321838,-81.655651
2004-09-21,"Orlando, Florida",Orlando,Florida,28.5421109,-81.3790304
2004-09-22,"Orlando, Florida",Orlando,Florida,28.5421109,-81.3790304
2004-09-22,"Palm Beach, Florida",Palm Beach,Florida,26.6279798,-80.4494174
2004-09-23,"Columbus, Ohio",Columbus,Ohio,39.9622601,-83.0007065
2004-09-24,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262
2004-09-24,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262
2004-09-26,"Madison, Wisconsin",Madison,Wisconsin,43.074761,-89.3837613
2004-09-27,"Spring Green, Wisconsin",Spring Green,Wisconsin,43.1769367,-90.0680478
2004-09-29,"Fort Lauderdale, Florida",Fort Lauderdale,Florida,26.1223084,-80.1433786
2004-09-30,"Miami, Florida",Miami,Florida,25.7741728,-80.19362
2004-10-01,"Tampa, Florida",Tampa,Florida,27.9477595,-82.458444
2004-10-01,"Kissimmee, Florida",Kissimmee,Florida,28.2918995,-81.4075838
2004-10-02,"Orlando, Florida",Orlando,Florida,28.5421109,-81.3790304
2004-10-02,"Washington, District of Columbia",Washington,District of Columbia,38.8950368,-77.0365427
2004-10-03,"Austintown, Ohio",Austintown,Ohio,41.0996151,-80.7638514
