date,location,city,state,lat,lng
2008-09-01,"Waterville, Ohio",Waterville,Ohio,41.5008859,-83.7182701
2008-09-02,"Brecksville, Ohio",Brecksville,Ohio,41.3197763,-81.6267904
2008-09-02,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262
2008-09-05,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007
2008-09-05,"Sterling Heights, Michigan",Sterling Heights,Michigan,42.5803122,-83.0302033
2008-09-05,"Cedarburg, Wisconsin",Cedarburg,Wisconsin,43.2966545,-87.9875348
2008-09-06,"Colorado Springs, Colorado",Colorado Springs,Colorado,38.8339578,-104.825348
2008-09-06,"Albuquerque, New Mexico",Albuquerque,New Mexico,35.0841034,-106.650985
2008-09-07,"Kansas City, Missouri",Kansas City,Missouri,39.100105,-94.5781416
2008-09-07,"Albuquerque, New Mexico",Albuquerque,New Mexico,35.0841034,-106.650985
2008-09-08,"Lee's Summit, Missouri",Lee's Summit,Missouri,38.9107156,-94.3821295
2008-09-09,"Lebanon, Ohio",Lebanon,Ohio,39.4353373,-84.2029922
2008-09-09,"Lancaster, Pennsylvania",Lancaster,Pennsylvania,40.08067,-76.2411283
2008-09-01,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262
2008-09-01,"Fairfax, Virginia",Fairfax,Virginia,38.8156356,-77.2836849
2008-09-14,"Loudon, New Hampshire",Loudon,New Hampshire,43.285703,-71.467438
2008-09-15,"Jacksonville, Florida",Jacksonville,Florida,30.3321838,-81.655651
2008-09-15,"Orlando, Florida",Orlando,Florida,28.5421109,-81.3790304
2008-09-16,"Tampa, Florida",Tampa,Florida,27.9477595,-82.458444
2008-09-16,"Vienna Township, Ohio",Vienna Township,Ohio,41.2407091,-80.6639706
2008-09-16,"Youngstown, Ohio",Youngstown,Ohio,41.1035786,-80.6520161
2008-09-17,"Grand Rapids, Michigan",Grand Rapids,Michigan,42.9632425,-85.6678639
2008-09-17,"Lake Orion, Michigan",Lake Orion,Michigan,42.7844752,-83.2396612
2008-09-18,"Cedar Rapids, Iowa",Cedar Rapids,Iowa,41.9758872,-91.6704053
2008-09-18,"Green Bay, Wisconsin",Green Bay,Wisconsin,44.5126379,-88.0125794
2008-09-19,"Blaine, Minnesota",Blaine,Minnesota,45.1607987,-93.2349489
2008-09-19,"Green Bay, Wisconsin",Green Bay,Wisconsin,44.5126379,-88.0125794
2008-09-22,"Media, Pennsylvania",Media,Pennsylvania,39.9167783,-75.387693
2008-09-22,"Scranton, Pennsylvania",Scranton,Pennsylvania,41.4086874,-75.6621294
2008-09-23,"Freeland, Michigan",Freeland,Michigan,43.5250265,-84.1227598
2008-09-23,"Berea, Ohio",Berea,Ohio,41.3661614,-81.8543026
2008-09-23,"Middleburg Heights, Ohio",Middleburg Heights,Ohio,41.3614401,-81.812912
2008-09-23,"Strongsville, Ohio",Strongsville,Ohio,41.3144733,-81.83511
2008-09-29,"Bexley, Ohio",Bexley,Ohio,39.9692378,-82.936864
2008-09-03,"Des Moines, Iowa",Des Moines,Iowa,41.5868654,-93.6249494
2008-10-01,"Independence, Missouri",Independence,Missouri,39.078055,-94.3740272140559
2008-10-02,"Denver, Colorado",Denver,Colorado,39.7392364,-104.984862
2008-10-03,"Pueblo, Colorado",Pueblo,Colorado,38.263995,-104.6141867
2008-10-06,"Albuquerque, New Mexico",Albuquerque,New Mexico,35.0841034,-106.650985
2008-10-08,"Strongsville, Ohio",Strongsville,Ohio,41.3144733,-81.83511
2008-10-08,"Bethlehem, Pennsylvania",Bethlehem,Pennsylvania,40.6178915,-75.3786521
2008-10-09,"Mosinee, Wisconsin",Mosinee,Wisconsin,44.7927298,-89.7035959
2008-10-09,"Waukesha, Wisconsin",Waukesha,Wisconsin,43.0622536,-88.3123889
2008-10-01,"Lakeville, Minnesota",Lakeville,Minnesota,44.650051,-93.2432791
2008-10-01,"La Crosse, Wisconsin",La Crosse,Wisconsin,43.8122836,-91.2514355
2008-10-11,"Davenport, Iowa",Davenport,Iowa,41.5235808,-90.5770967
2008-10-13,"Wilmington, North Carolina",Wilmington,North Carolina,34.2257282,-77.9447107
2008-10-13,"Virginia Beach, Virginia",Virginia Beach,Virginia,36.8496579,-75.9760751
2008-10-14,"Blue Bell, Pennsylvania",Blue Bell,Pennsylvania,40.147809,-75.27278098877919
2008-10-16,"Downingtown, Pennsylvania",Downingtown,Pennsylvania,40.0064958,-75.7032742
2008-10-17,"Melbourne, Florida",Melbourne,Florida,28.0785034,-80.6077908
2008-10-17,"Miami, Florida",Miami,Florida,25.7741728,-80.19362
2008-10-18,"Concord, North Carolina",Concord,North Carolina,35.4094178,-80.5800049
2008-10-18,"Woodbridge, Virginia",Woodbridge,Virginia,38.6361522,-77.26783643627006
2008-10-19,"Toledo, Ohio",Toledo,Ohio,41.6529143,-83.5378173
2008-10-19,"Westerville, Ohio",Westerville,Ohio,40.126139,-82.9295287
2008-10-02,"Belton, Missouri",Belton,Missouri,38.8108097,-94.5313502
2008-10-02,"Columbia, Missouri",Columbia,Missouri,38.951883,-92.3337366
2008-10-02,"St. Charles, Missouri",St. Charles,Missouri,38.7877791,-90.6747372
2008-10-21,"Bensalem, Pennsylvania",Bensalem,Pennsylvania,40.1045549,-74.951279
2008-10-21,"Harrisburg, Pennsylvania",Harrisburg,Pennsylvania,40.2663107,-76.8861122
2008-10-21,"Moon Township, Pennsylvania",Moon Township,Pennsylvania,40.506100000000004,-80.2082
2008-10-22,"Goffstown, New Hampshire",Goffstown,New Hampshire,43.0202574,-71.5999535
2008-10-22,"Cincinnati, Ohio",Cincinnati,Ohio,39.1014537,-84.5124602
2008-10-22,"Green, Ohio",Green,Ohio,40.9468077,-81.4670631
2008-10-23,"Altamonte Springs, Florida",Altamonte Springs,Florida,28.6649055,-81.37626861372098
2008-10-23,"Daytona Beach, Florida",Daytona Beach,Florida,29.2108147,-81.0228331
2008-10-23,"Orlando, Florida",Orlando,Florida,28.5421109,-81.3790304
2008-10-23,"Ormond Beach, Florida",Ormond Beach,Florida,29.2854132,-81.0557921
2008-10-23,"Plant City, Florida",Plant City,Florida,28.01806015,-82.11848198507127
2008-10-23,"Sarasota, Florida",Sarasota,Florida,27.3365805,-82.5308545
2008-10-24,"Colorado Springs, Colorado",Colorado Springs,Colorado,38.8339578,-104.825348
2008-10-24,"Denver, Colorado",Denver,Colorado,39.7392364,-104.984862
2008-10-24,"Durango, Colorado",Durango,Colorado,37.2769484,-107.8766
2008-10-25,"Albuquerque, New Mexico",Albuquerque,New Mexico,35.0841034,-106.650985
2008-10-25,"Mesilla, New Mexico",Mesilla,New Mexico,32.2741174,-106.7952056
2008-10-26,"Cedar Falls, Iowa",Cedar Falls,Iowa,42.5361805,-92.447758
