date,location,city,state,lat,lng
2008-09-01,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007
2008-09-01,"Monroe, Michigan",Monroe,Michigan,41.9153358,-83.5135665
2008-09-01,"Milwaukee, Wisconsin",Milwaukee,Wisconsin,43.0386475,-87.9090751
2008-09-03,"Dillonvale, Ohio",Dillonvale,Ohio,39.216421600000004,-84.40081359059991
2008-09-03,"New Philadelphia, Ohio",New Philadelphia,Ohio,40.4897871,-81.4456706
2008-09-04,"Columbia, Pennsylvania",Columbia,Pennsylvania,41.0389186,-76.4191791
2008-09-04,"Lancaster, Pennsylvania",Lancaster,Pennsylvania,40.08067,-76.2411283
2008-09-04,"York, Pennsylvania",York,Pennsylvania,39.962493,-76.7276989
2008-09-05,"Duryea, Pennsylvania",Duryea,Pennsylvania,41.347817,-75.7564267
2008-09-05,"Wyoming, Pennsylvania",Wyoming,Pennsylvania,41.5179097,-76.019111
2008-09-06,"Terre Haute, Indiana",Terre Haute,Indiana,39.4667025,-87.4139119
2008-09-08,"Farmington Hills, Michigan",Farmington Hills,Michigan,42.4853125,-83.3771553
2008-09-08,"Flint, Michigan",Flint,Michigan,43.0161693,-83.6900211
2008-09-09,"Riverside, Ohio",Riverside,Ohio,39.7793976,-84.1246358
2008-09-09,"Abingdon, Virginia",Abingdon,Virginia,36.7104018,-81.975249
2008-09-09,"Lebanon, Virginia",Lebanon,Virginia,36.9009076,-82.0801257
2008-09-01,"Norfolk, Virginia",Norfolk,Virginia,36.8493695,-76.2899539
2008-09-12,"Concord, New Hampshire",Concord,New Hampshire,43.207178,-71.537476
2008-09-12,"Dover, New Hampshire",Dover,New Hampshire,43.1981117,-70.8739761
2008-09-13,"Manchester, New Hampshire",Manchester,New Hampshire,42.9956397,-71.4547891
2008-09-15,"Grand Junction, Colorado",Grand Junction,Colorado,39.0672568,-108.56448
2008-09-15,"Pueblo, Colorado",Pueblo,Colorado,38.263995,-104.6141867
2008-09-16,"Golden, Colorado",Golden,Colorado,39.7546349,-105.22058
2008-09-17,"Elko, Nevada",Elko,Nevada,41.1958128,-115.3272864
2008-09-17,"Las Vegas, Nevada",Las Vegas,Nevada,36.1672559,-115.148516
2008-09-18,"Albuquerque, New Mexico",Albuquerque,New Mexico,35.0841034,-106.650985
2008-09-18,"Bernalillo, New Mexico",Bernalillo,New Mexico,35.0349239,-106.6870693
2008-09-18,"Espanola, New Mexico",Espanola,New Mexico,35.9910962,-106.080835
