candidate_party,location,count
Republican,"Albuquerque, New Mexico",7
Republican,"Cedar Rapids, Iowa",5
Republican,"Charlotte, North Carolina",5
Republican,"Cincinnati, Ohio",5
Republican,"Colorado Springs, Colorado",6
Republican,"Columbus, Ohio",6
Republican,"Denver, Colorado",8
Republican,"Des Moines, Iowa",5
Republican,"Grand Rapids, Michigan",5
Republican,"Green Bay, Wisconsin",5
Republican,"Jacksonville, Florida",7
Republican,"Las Vegas, Nevada",9
Republican,"Manchester, New Hampshire",5
Republican,"Miami, Florida",8
Republican,"New York, New York",6
Republican,"Pensacola, Florida",5
Republican,"Philadelphia, Pennsylvania",5
Republican,"Scranton, Pennsylvania",5
Republican,"Tampa, Florida",8
Republican,"Toledo, Ohio",5
Republican,"Virginia Beach, Virginia",5
