location,candidate_party,count
"Albuquerque, New Mexico",Republican,7
"Cedar Rapids, Iowa",Republican,5
"Cincinnati, Ohio",Republican,5
"Colorado Springs, Colorado",Republican,6
"Columbus, Ohio",Republican,6
"Denver, Colorado",Republican,8
"Des Moines, Iowa",Republican,5
"Grand Rapids, Michigan",Republican,5
"Jacksonville, Florida",Republican,7
"Las Vegas, Nevada",Republican,6
"Manchester, New Hampshire",Republican,5
"Miami, Florida",Republican,8
"Pensacola, Florida",Republican,5
"Tampa, Florida",Republican,8
"Toledo, Ohio",Republican,5
"Virginia Beach, Virginia",Republican,5
