date,location,city,state,lat,lng
2012-09-01,"Jacksonville, Florida",Jacksonville,Florida,30.3321838,-81.655651
2012-09-01,"Cincinnati, Ohio",Cincinnati,Ohio,39.1014537,-84.5124602
2012-09-05,"West Lebanon, New Hampshire",West Lebanon,New Hampshire,43.6482811,-72.3102794
2012-09-06,"Concord, New Hampshire",Concord,New Hampshire,43.207178,-71.537476
2012-09-07,"Orange City, Iowa",Orange City,Iowa,43.0072424,-96.0583138
2012-09-07,"Nashua, New Hampshire",Nashua,New Hampshire,42.7656251,-71.4677032
2012-09-08,"Richmond, Virginia",Richmond,Virginia,37.5385087,-77.43428
2012-09-08,"Virginia Beach, Virginia",Virginia Beach,Virginia,36.8496579,-75.9760751
2012-09-01,"Mansfield, Ohio",Mansfield,Ohio,40.75839,-82.5154471
2012-09-12,"Jacksonville, Florida",Jacksonville,Florida,30.3321838,-81.655651
2012-09-13,"Fairfax, Virginia",Fairfax,Virginia,38.8156356,-77.2836849
2012-09-14,"Painesville, Ohio",Painesville,Ohio,41.7244885,-81.245657
2012-09-16,"Kansas City, Missouri",Kansas City,Missouri,39.100105,-94.5781416
2012-09-19,"Miami, Florida",Miami,Florida,25.7741728,-80.19362
2012-09-02,"Sarasota, Florida",Sarasota,Florida,27.3365805,-82.5308545
2012-09-21,"Las Vegas, Nevada",Las Vegas,Nevada,36.1672559,-115.148516
2012-09-23,"Denver, Colorado",Denver,Colorado,39.7392364,-104.984862
2012-09-24,"Pueblo, Colorado",Pueblo,Colorado,38.263995,-104.6141867
2012-09-25,"Vandalia, Ohio",Vandalia,Ohio,39.8906122,-84.1988308
2012-09-26,"Bedford Heights, Ohio",Bedford Heights,Ohio,41.4143826,-81.5061146
2012-09-26,"Swanton, Ohio",Swanton,Ohio,41.5906822,-83.8931809
2012-09-26,"Toledo, Ohio",Toledo,Ohio,41.6529143,-83.5378173
2012-09-26,"Westerville, Ohio",Westerville,Ohio,40.126139,-82.9295287
2012-09-27,"Springfield, Virginia",Springfield,Virginia,38.7767435,-77.1807019310668
2012-09-28,"Radnor Township, Pennsylvania",Radnor Township,Pennsylvania,40.02897395,-75.36802874885015
2012-10-01,"Denver, Colorado",Denver,Colorado,39.7392364,-104.984862
2012-10-02,"Denver, Colorado",Denver,Colorado,39.7392364,-104.984862
2012-10-04,"Denver, Colorado",Denver,Colorado,39.7392364,-104.984862
2012-10-04,"Fishersville, Virginia",Fishersville,Virginia,38.098961,-78.98593583061749
